Consigne.started,Consigne.stopped,Key_resp1.keys,Key_resp1.rt,Key_resp1.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,IMAGES.started,IMAGES.stopped,SAM.started,SAM.stopped,Plaisir.response,Plaisir.rt,EVEIL.response,EVEIL.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,ImagesDistracteursFile,Test,Calcul.started,Calcul.stopped,Key_response.keys,Key_response.rt,Key_response.duration,Consigne_reco.started,Consigne_reco.stopped,key_resp_reconn.keys,key_resp_reconn.rt,key_resp_reconn.duration,DISTRACTEURS.started,DISTRACTEURS.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,618.5432,628.5408,628.5416,632.7894,9,2.2707,2,4.2391,0,35,35,35,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image3.mp4,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video9.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,632.7899,642.7743,642.7761,651.0845,2,4.5898,6,8.3068,0,36,36,36,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image9.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre6.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,651.0852,661.0259,661.0396,666.5636,1,1.9078,5,5.5177,0,37,37,37,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image7.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,666.5644,676.5621,676.5629,680.6605,1,1.4734,8,4.0909,0,38,38,38,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video6.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,680.6611,690.6591,690.6598,696.9397,4,3.0763,5,6.2763,0,39,39,39,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image1.mp4,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video7.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,,,,,,,,,,,,,,,,,696.9487,1297.0244,space,600.0265,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,1297.0246,1315.9227,space,18.7877,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,,,,,,,,,,,,,,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif10.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,,,,,,,,,,,1315.9414,1318.5725,-0.480555556,-0.313888889,1,0,0,2.6233,Faux,0,0,0,0,1
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,,,,,,,,,,,,,,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image9.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre3.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif3.mp4,,,,,,,,,,,1318.5749,1322.4295,-0.496296296,-0.287962963,1,0,0,3.8511,Faux,0,1,1,1,1
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,,,,,,,,,,,,,,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image3.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video2.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif5.mp4,,,,,,,,,,,1322.4303,1324.3691,0.518518519,-0.288888889,1,0,0,1.9366,Vrai,0,2,2,2,1
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,,,,,,,,,,,,,,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image4.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image6.mp4,,,,,,,,,,,,1324.3717,1326.417,0.482407407,-0.30462963,1,0,0,2.0399,Vrai,0,3,3,3,1
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,,,,,,,,,,,,,,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image2.mp4,,,,,,,,,,,,1326.4177,1328.4013,0.509259259,-0.312037037,1,0,0,1.9817,Vrai,0,4,4,4,1
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,,,,,,,,,,,,,,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video10.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre7.mp4,,,,,,,,,,,,1328.4031,1331.6427,-0.491666667,-0.288888889,1,0,0,3.2341,Faux,0,5,5,5,1
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,,,,,,,,,,,,,,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video4.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif4.mp4,,,,,,,,,,,,1331.6437,1334.6498,-0.518518519,-0.312037037,1,0,0,2.9925,Faux,0,6,6,6,1
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,,,,,,,,,,,,,,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image2.mp4,,,,,,,,,,,,1334.6505,1337.4048,0.494444444,-0.280555556,1,0,0,2.7521,Vrai,0,7,7,7,1
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,,,,,,,,,,,,,,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image9.mp4,,,,,,,,,,,,1337.4065,1340.0293,0.494444444,-0.322222222,1,0,0,2.6161,Vrai,0,8,8,8,1
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,,,,,,,,,,,,,,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image4.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre8.mp4,,,,,,,,,,,,1340.0646,1355.9285,-0.562962963,-0.317592593,1,0,0,15.8497,Faux,0,9,9,9,1
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,,,,,,,,,,,,,,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif8.mp4,,,,,,,,,,,,1355.9312,1360.7925,-0.487962963,-0.284259259,1,0,0,4.8525,Faux,0,10,10,10,1
